"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D430","2019-07-11 00:00:00","87.000","0.000","0.000","26.600","0.880","996.100","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","26.500",""
"C0X210","2019-07-11 00:00:00","38.000","172.000","3.200","25.400","0.940","1003.000","-99.000","48.500","-99.000","-99.000","-99.000","30.600","","24.600",""
"C0AH10","2019-07-11 00:00:00","30.000","151.000","1.400","30.000","0.740","1002.400","-99.000","0.000","-99.000","-99.000","-99.000","35.800","","27.200",""
"C0O960","2019-07-11 00:00:00","112.000","142.000","2.200","24.100","0.970","997.000","-99.000","123.500","-99.000","-99.000","-99.000","30.000","","24.100",""
"C0R360","2019-07-11 00:00:00","20.000","226.000","2.200","28.200","-99.000","1007.900","-99.000","1.500","-99.000","-99.000","-99.000","31.000","","27.600",""
"C0H950","2019-07-11 00:00:00","192.000","0.000","0.100","25.200","0.990","988.000","-99.000","7.500","-99.000","-99.000","-99.000","32.800","","23.100",""
"C0A540","2019-07-11 00:00:00","401.000","0.000","0.000","23.600","0.980","959.500","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","21.400",""
"C0C690","2019-07-11 00:00:00","242.000","113.000","0.700","26.900","0.760","979.500","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.100",""
"C0V370","2019-07-11 00:00:00","74.000","101.000","0.500","23.800","1.000","1002.400","-99.000","107.000","-99.000","-99.000","-99.000","30.500","","23.800",""
"C0I110","2019-07-11 00:00:00","161.000","0.000","0.200","24.900","0.990","991.000","-99.000","24.500","-99.000","-99.000","-99.000","33.200","","24.400",""
"C0M750","2019-07-11 00:00:00","10.000","158.000","5.600","26.200","0.890","1007.300","-99.000","21.000","-99.000","-99.000","-99.000","30.300","","25.700",""
"C0U970","2019-07-11 00:00:00","7.000","288.000","0.600","28.500","0.790","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","25.900",""
"C0X300","2019-07-11 00:00:00","70.000","72.000","0.600","26.000","0.910","1000.700","-99.000","26.000","-99.000","-99.000","-99.000","30.600","","25.000",""
